ch,txt,tokens,ch_len
1,      To Guide with Names     To guide what can be guided is not constant guiding      To name what can be named is not constant naming      'Not exist' names the beginning  boundary  of the cosmos  Heaven and earth          'Exists' names the mother of the ten thousand natural kinds       Thus  to treat 'not exist' as constant is desiring to use it to view its mysteries          To treat 'exists' as constant is desiring to use it to view its manifestations          These two emerge together yet have different names      'Together'  call that 'obscure  ' 'Obscure' it and it is more obscure            the gateway of a crowd of mysteries     ,"['To', 'Guide', 'with', 'Names', 'To', 'guide', 'what', 'can', 'be', 'guided', 'is', 'not', 'constant', 'guiding', 'To', 'name', 'what', 'can', 'be', 'named', 'is', 'not', 'constant', 'naming', ""'Not"", 'exist', ""'"", 'names', 'the', 'beginning', 'boundary', 'of', 'the', 'cosmos', 'Heaven', 'and', 'earth', ""'Exists"", ""'"", 'names', 'the', 'mother', 'of', 'the', 'ten', 'thousand', 'natural', 'kinds', 'Thus', 'to', 'treat', ""'not"", 'exist', ""'"", 'as', 'constant', 'is', 'desiring', 'to', 'use', 'it', 'to', 'view', 'its', 'mysteries', 'To', 'treat', ""'exists"", ""'"", 'as', 'constant', 'is', 'desiring', 'to', 'use', 'it', 'to', 'view', 'its', 'manifestations', 'These', 'two', 'emerge', 'together', 'yet', 'have', 'different', 'names', ""'Together"", ""'"", 'call', 'that', ""'obscure"", ""'"", ""'Obscure"", ""'"", 'it', 'and', 'it', 'is', 'more', 'obscure', 'the', 'gateway', 'of', 'a', 'crowd', 'of', 'mysteries']",109
2,  Contrast of Terms     That the social world knows to deem the beautiful as 'beautiful' simply creates     the 'ugly  '     That the social world knows to deem worth as 'worthy' simply creates 'worthlessness      '     Thus 'exists' and 'not exists' mutually sprout  'Difficult' and 'easy' are mutually     done      'Long' and 'short' are mutually gauged  'High' and 'low' mutually incline      'Sound' and 'tone' mutually blend  'Before' and 'after' mutually supervene           Pro sage Commentary       Using this  sages fix social issues without deeming   administer a 'no words'     teaching      The ten thousand natural kinds work by it and don't make phrases  They sprout     but don't 'exist'  Deem act and don't rely on anything  Accomplish their work     and don't dwell in it      Because they don't dwell in it  they don't lose it     ,"['Contrast', 'of', 'Terms', 'That', 'the', 'social', 'world', 'knows', 'to', 'deem', 'the', 'beautiful', 'as', ""'beautiful"", ""'"", 'simply', 'creates', 'the', ""'ugly"", ""'"", 'That', 'the', 'social', 'world', 'knows', 'to', 'deem', 'worth', 'as', ""'worthy"", ""'"", 'simply', 'creates', ""'worthlessness"", ""'"", 'Thus', ""'exists"", ""'"", 'and', ""'not"", 'exists', ""'"", 'mutually', 'sprout', ""'Difficult"", ""'"", 'and', ""'easy"", ""'"", 'are', 'mutually', 'done', ""'Long"", ""'"", 'and', ""'short"", ""'"", 'are', 'mutually', 'gauged', ""'High"", ""'"", 'and', ""'low"", ""'"", 'mutually', 'incline', ""'Sound"", ""'"", 'and', ""'tone"", ""'"", 'mutually', 'blend', ""'Before"", ""'"", 'and', ""'after"", ""'"", 'mutually', 'supervene', 'Pro', 'sage', 'Commentary', 'Using', 'this', 'sages', 'fix', 'social', 'issues', 'without', 'deeming', 'administer', 'a', ""'no"", 'words', ""'"", 'teaching', 'The', 'ten', 'thousand', 'natural', 'kinds', 'work', 'by', 'it', 'and', 'do', ""n't"", 'make', 'phrases', 'They', 'sprout', 'but', 'do', ""n't"", ""'exist"", ""'"", 'Deem', 'act', 'and', 'do', ""n't"", 'rely', 'on', 'anything', 'Accomplish', 'their', 'work', 'and', 'do', ""n't"", 'dwell', 'in', 'it', 'Because', 'they', 'do', ""n't"", 'dwell', 'in', 'it', 'they', 'do', ""n't"", 'lose', 'it']",147
3,  Prescriptions for Politics     Don't glorify the high brow  cause people not to wrangle      Don't value limited commodities  cause people not to contemplate stealing      Don't display the desirable  prevent confusing the people's hearts 'n minds          Using these  The governance of sages  empties their hearts 'n minds  stuffs     their guts     Weakens their resolve  and strengthens their bones      He treats causing the people to lack both knowledge and desire as constants          Causing those with knowledge not to venture deeming actions      They deem the absence of deeming action and thus nothing is ungoverned     ,"['Prescriptions', 'for', 'Politics', 'Do', ""n't"", 'glorify', 'the', 'high', 'brow', 'cause', 'people', 'not', 'to', 'wrangle', 'Do', ""n't"", 'value', 'limited', 'commodities', 'cause', 'people', 'not', 'to', 'contemplate', 'stealing', 'Do', ""n't"", 'display', 'the', 'desirable', 'prevent', 'confusing', 'the', 'people', ""'s"", 'hearts', ""'n"", 'minds', 'Using', 'these', 'The', 'governance', 'of', 'sages', 'empties', 'their', 'hearts', ""'n"", 'minds', 'stuffs', 'their', 'guts', 'Weakens', 'their', 'resolve', 'and', 'strengthens', 'their', 'bones', 'He', 'treats', 'causing', 'the', 'people', 'to', 'lack', 'both', 'knowledge', 'and', 'desire', 'as', 'constants', 'Causing', 'those', 'with', 'knowledge', 'not', 'to', 'venture', 'deeming', 'actions', 'They', 'deem', 'the', 'absence', 'of', 'deeming', 'action', 'and', 'thus', 'nothing', 'is', 'ungoverned']",93
4,  Using Guidance     Guidance pours out but in using it  something is not filled      Whew  It's like the ancestor of the ten thousand natural kinds      'Dull' its 'sharp'  'untie' its 'tie'  'blend' its 'bright'  'together' its     'diffused particles'      Ooo  It's like it partly endures      I don't know whose son it is      It is before the emperor of signs     ,"['Using', 'Guidance', 'Guidance', 'pours', 'out', 'but', 'in', 'using', 'it', 'something', 'is', 'not', 'filled', 'Whew', 'It', ""'s"", 'like', 'the', 'ancestor', 'of', 'the', 'ten', 'thousand', 'natural', 'kinds', ""'Dull"", ""'"", 'its', ""'sharp"", ""'"", ""'untie"", ""'"", 'its', ""'tie"", ""'"", ""'blend"", ""'"", 'its', ""'bright"", ""'"", ""'together"", ""'"", 'its', ""'diffused"", 'particles', ""'"", 'Ooo', 'It', ""'s"", 'like', 'it', 'partly', 'endures', 'I', 'do', ""n't"", 'know', 'whose', 'son', 'it', 'is', 'It', 'is', 'before', 'the', 'emperor', 'of', 'signs']",68
5,  Natural Guidance     Heaven earth  the cosmos  is not kind  It treats the ,"['Natural', 'Guidance', 'Heaven', 'earth', 'the', 'cosmos', 'is', 'not', 'kind', 'It', 'treats', 'the']",12
10, ,[],0
000, natural kinds as     straw dogs      Sages are not kind  They treat the hundred surname groups as straw dogs      Is the space between Heaven and earth not like bellows and flutes      Empty and not warped      As long as you move them  they produce      Many words and numbers unlimited are not as good as holding the center     ,"['natural', 'kinds', 'as', 'straw', 'dogs', 'Sages', 'are', 'not', 'kind', 'They', 'treat', 'the', 'hundred', 'surname', 'groups', 'as', 'straw', 'dogs', 'Is', 'the', 'space', 'between', 'Heaven', 'and', 'earth', 'not', 'like', 'bellows', 'and', 'flutes', 'Empty', 'and', 'not', 'warped', 'As', 'long', 'as', 'you', 'move', 'them', 'they', 'produce', 'Many', 'words', 'and', 'numbers', 'unlimited', 'are', 'not', 'as', 'good', 'as', 'holding', 'the', 'center']",55
6,  The Superiority of the Female     The Valley energy never dies      This is called 'fathomless female'     The channel of the fathomless female      This is called the basis of the cosmos      Silken  It's as if it abides      Handle it gently     ,"['The', 'Superiority', 'of', 'the', 'Female', 'The', 'Valley', 'energy', 'never', 'dies', 'This', 'is', 'called', ""'fathomless"", 'female', ""'"", 'The', 'channel', 'of', 'the', 'fathomless', 'female', 'This', 'is', 'called', 'the', 'basis', 'of', 'the', 'cosmos', 'Silken', 'It', ""'s"", 'as', 'if', 'it', 'abides', 'Handle', 'it', 'gently']",40
7,  Intentional Reversal     Heaven is old and Earth is enduring      What do Heaven and Earth rely on in order to be old and enduring      They rely on avoiding self creation      Hence they can be old and enduring      Using this  Sages 'later' themselves and yet they comes first      They 'outside' themselves and yet they abide      Is this not a case of their lacking selfishness      So they are able to achieve their selfishness     ,"['Intentional', 'Reversal', 'Heaven', 'is', 'old', 'and', 'Earth', 'is', 'enduring', 'What', 'do', 'Heaven', 'and', 'Earth', 'rely', 'on', 'in', 'order', 'to', 'be', 'old', 'and', 'enduring', 'They', 'rely', 'on', 'avoiding', 'self', 'creation', 'Hence', 'they', 'can', 'be', 'old', 'and', 'enduring', 'Using', 'this', 'Sages', ""'later"", ""'"", 'themselves', 'and', 'yet', 'they', 'comes', 'first', 'They', ""'outside"", ""'"", 'themselves', 'and', 'yet', 'they', 'abide', 'Is', 'this', 'not', 'a', 'case', 'of', 'their', 'lacking', 'selfishness', 'So', 'they', 'are', 'able', 'to', 'achieve', 'their', 'selfishness']",72
8,  The Worth of Water     Higher worth is like water      Water is good at benefiting the ten thousand natural kinds     Without wrangling for position      What the crowd despises     Hence close to the guide      In dwelling value the earth      In heart mind value depth      In being with value kindness      In words value reliability      In rectifying value order      In social affairs value ability      In action value timing      In general  simply don't wrangle     Hence have no indiscretion     ,"['The', 'Worth', 'of', 'Water', 'Higher', 'worth', 'is', 'like', 'water', 'Water', 'is', 'good', 'at', 'benefiting', 'the', 'ten', 'thousand', 'natural', 'kinds', 'Without', 'wrangling', 'for', 'position', 'What', 'the', 'crowd', 'despises', 'Hence', 'close', 'to', 'the', 'guide', 'In', 'dwelling', 'value', 'the', 'earth', 'In', 'heart', 'mind', 'value', 'depth', 'In', 'being', 'with', 'value', 'kindness', 'In', 'words', 'value', 'reliability', 'In', 'rectifying', 'value', 'order', 'In', 'social', 'affairs', 'value', 'ability', 'In', 'action', 'value', 'timing', 'In', 'general', 'simply', 'do', ""n't"", 'wrangle', 'Hence', 'have', 'no', 'indiscretion']",74
