label,seq_words,input_x
0,"['the', 'way', 'that', 'can', 'be', 'spoken', 'of', 'is', 'not', 'the', 'constant', 'way', 'the', 'name', 'that', 'can', 'be', 'named', 'is', 'not', 'the', 'constant', 'name', 'the', 'nameless', 'was', 'the', 'beginning', 'of', 'heaven', 'and', 'earth', 'the', 'named', 'was', 'the', 'mother', 'of', 'the', 'myriad', 'creatures', 'hence', 'always', 'rid', 'yourself', 'of', 'desires', 'in', 'order', 'to', 'observe', 'its', 'secrets', 'but', 'always', 'allow', 'yourself', 'to', 'have', 'desires', 'in', 'order', 'to', 'observe', 'its', 'manifestations', 'these', 'two', 'are', 'the', 'same', 'but', 'diverge', 'in', 'name', 'as', 'they', 'issue', 'forth', 'being', 'the', 'same', 'they', 'are', 'called', 'mysteries', 'mystery', 'upon', 'mystery', 'the', 'gateway', 'of', 'the', 'manifold', 'secrets']","[2, 29, 11, 46, 12, 770, 6, 3, 9, 2, 143, 29, 2, 90, 11, 46, 12, 229, 3, 9, 2, 143, 90, 2, 327, 83, 2, 209, 6, 51, 5, 74, 2, 229, 83, 2, 144, 6, 2, 111, 97, 82, 108, 1, 585, 6, 177, 8, 178, 4, 586, 21, 771, 38, 108, 772, 585, 4, 37, 177, 8, 178, 4, 586, 21, 1, 94, 162, 16, 2, 251, 38, 1, 8, 90, 20, 33, 773, 454, 63, 2, 251, 33, 16, 70, 774, 281, 382, 281, 2, 775, 6, 2, 1, 771, 0, 0, 0, 0, 0]"
1,"['the', 'tao', 'that', 'can', 'be', 'trodden', 'is', 'not', 'the', 'enduring', 'and', 'unchanging', 'tao', 'the', 'name', 'that', 'can', 'be', 'named', 'is', 'not', 'the', 'enduring', 'and', 'unchanging', 'name', 'conceived', 'of', 'as', 'having', 'no', 'name', 'it', 'is', 'the', 'originator', 'of', 'heaven', 'and', 'earth', 'conceived', 'of', 'as', 'having', 'a', 'name', 'it', 'is', 'the', 'mother', 'of', 'all', 'things', 'always', 'without', 'desire', 'we', 'must', 'be', 'found', 'if', 'its', 'deep', 'mystery', 'we', 'would', 'sound', 'but', 'if', 'desire', 'always', 'within', 'us', 'be', 'its', 'outer', 'fringe', 'is', 'all', 'that', 'we', 'shall', 'see', 'under', 'these', 'two', 'aspects', 'it', 'is', 'really', 'the', 'same', 'but', 'as', 'development', 'takes', 'place', 'it', 'receives', 'the', 'different', 'names', 'together', 'we', 'call', 'them', 'the', 'mystery', 'where', 'the', 'mystery', 'is', 'the', 'deepest', 'is', 'the', 'gate', 'of', 'all', 'that', 'is', 'subtle', 'and', 'wonderful']","[2, 35, 11, 46, 12, 1, 3, 9, 2, 282, 5, 190, 35, 2, 90, 11, 46, 12, 229, 3, 9, 2, 282, 5, 190, 90, 776, 6, 20, 136, 17, 90, 7, 3, 2, 1, 6, 51, 5, 74, 776, 6, 20, 136, 10, 90, 7, 3, 2, 144, 6, 23, 41, 108, 48, 148, 62, 127, 12, 252, 53, 21, 230, 281, 62, 68, 383, 38, 53, 148, 108, 231, 777, 12, 21, 1, 1, 3, 23, 11, 62, 113, 119, 149, 94, 162, 1, 7, 3, 1, 2, 251, 38, 20, 778, 150, 84, 7, 1, 2]"
0,"['the', 'whole', 'world', 'recognizes', 'the', 'beautiful', 'as', 'the', 'beautiful', 'yet', 'this', 'is', 'only', 'the', 'ugly', 'the', 'whole', 'world', 'recognizes', 'the', 'good', 'as', 'the', 'good', 'yet', 'this', 'is', 'only', 'the', 'bad', 'thus', 'something', 'and', 'nothing', 'produce', 'each', 'other', 'the', 'difficult', 'and', 'the', 'easy', 'complement', 'each', 'other', 'the', 'long', 'and', 'the', 'short', 'off', 'set', 'each', 'other', 'the', 'high', 'and', 'the', 'low', 'incline', 'towards', 'each', 'other', 'note', 'and', 'sound', 'harmonize', 'with', 'each', 'other', 'before', 'and', 'after', 'follow', 'each', 'other', 'therefore', 'the', 'sage', 'keeps', 'to', 'the', 'deed', 'that', 'consists', 'in', 'taking', 'no', 'action', 'and', 'practises', 'the', 'teaching', 'that', 'uses', 'no', 'words', 'the', 'myriad', 'creatures', 'rise', 'from', 'it', 'yet', 'it', 'claims', 'no', 'authority', 'it', 'gives', 'them', 'life', 'yet', 'claims', 'no', 'possession', 'it', 'benefits', 'them', 'yet', 'exacts', 'no', 'gratitude', 'it', 'accomplishes', 'its', 'task', 'yet', 'lays', 'claim', 'to', 'no', 'merit', 'it', 'is', 'because', 'it', 'lays', 'claim', 'to', 'no', 'merit', 'that', 'its', 'merit', 'never', 'deserts', 'it']","[2, 232, 75, 780, 2, 284, 20, 2, 284, 42, 34, 3, 105, 2, 1, 2, 232, 75, 780, 2, 64, 20, 2, 64, 42, 34, 3, 105, 2, 285, 69, 210, 5, 78, 781, 152, 77, 2, 191, 5, 2, 114, 1, 152, 77, 2, 109, 5, 2, 1, 1, 387, 152, 77, 2, 253, 5, 2, 286, 1, 1, 152, 77, 782, 5, 383, 1, 31, 152, 77, 128, 5, 455, 287, 152, 77, 49, 2, 60, 288, 4, 2, 1, 11, 587, 8, 153, 17, 115, 5, 783, 2, 388, 11, 233, 17, 145, 2, 111, 97]"
1,"['all', 'in', 'the', 'world', 'know', 'the', 'beauty', 'of', 'the', 'beautiful', 'and', 'in', 'doing', 'this', 'they', 'have', 'the', 'idea', 'of', 'what', 'ugliness', 'is', 'they', 'all', 'know', 'the', 'skill', 'of', 'the', 'skilful', 'and', 'in', 'doing', 'this', 'they', 'have', 'the', 'idea', 'of', 'what', 'the', 'want', 'of', 'skill', 'is', 'so', 'it', 'is', 'that', 'existence', 'and', 'non', 'existence', 'give', 'birth', 'the', 'one', 'to', 'the', 'idea', 'of', 'the', 'other', 'that', 'difficulty', 'and', 'ease', 'produce', 'the', 'one', 'the', 'idea', 'of', 'the', 'other', 'that', 'length', 'and', 'shortness', 'fashion', 'out', 'the', 'one', 'the', 'figure', 'of', 'the', 'other', 'that', 'the', 'ideas', 'of', 'height', 'and', 'lowness', 'arise', 'from', 'the', 'contrast', 'of', 'the', 'one', 'with', 'the', 'other', 'that', 'the', 'musical', 'notes', 'and', 'tones', 'become', 'harmonious', 'through', 'the', 'relation', 'of', 'one', 'with', 'another', 'and', 'that', 'being', 'before', 'and', 'behind', 'give', 'the', 'idea', 'of', 'one', 'following', 'another', 'therefore', 'the', 'sage', 'manages', 'affairs', 'without', 'doing', 'anything', 'and', 'conveys', 'his', 'instructions', 'without', 'the', 'use', 'of', 'speech', 'all', 'things', 'spring', 'up', 'and', 'there', 'is', 'not', 'one', 'which', 'declines', 'to', 'show', 'itself', 'they', 'grow', 'and', 'there', 'is', 'no', 'claim', 'made', 'for', 'their', 'ownership', 'they', 'go', 'through', 'their', 'processes', 'and', 'there', 'is', 'no', 'expectation', 'of', 'a', 'reward', 'for', 'the', 'results', 'the', 'work', 'is', 'accomplished', 'and', 'there', 'is', 'no', 'resting', 'in', 'it', 'as', 'an', 'achievement', 'the', 'work', 'is', 'done', 'but', 'how', 'no', 'one', 'can', 'see', 'tis', 'this', 'that', 'makes', 'the', 'power', 'not', 'cease', 'to', 'be']","[23, 8, 2, 75, 61, 2, 784, 6, 2, 284, 5, 8, 110, 34, 33, 37, 2, 393, 6, 32, 1, 3, 33, 23, 61, 2, 212, 6, 2, 154, 5, 8, 110, 34, 33, 37, 2, 393, 6, 32, 2, 394, 6, 212, 3, 50, 7, 3, 11, 329, 5, 395, 329, 163, 1, 2, 14, 4, 2, 393, 6, 2, 77, 11, 593, 5, 785, 781, 2, 14, 2, 393, 6, 2, 77, 11, 786, 5, 1, 1, 137, 2, 14, 2, 1, 6, 2, 77, 11, 2, 1, 6, 594, 5, 787, 595, 27, 2, 1, 6]"
0,"['not', 'to', 'honor', 'men', 'of', 'worth', 'will', 'keep', 'the', 'people', 'from', 'contention', 'not', 'to', 'value', 'goods', 'which', 'are', 'hard', 'to', 'come', 'by', 'will', 'keep', 'them', 'from', 'theft', 'not', 'to', 'display', 'what', 'is', 'desirable', 'will', 'keep', 'them', 'from', 'being', 'unsettled', 'of', 'mind', 'therefore', 'in', 'governing', 'the', 'people', 'the', 'sage', 'empties', 'their', 'minds', 'but', 'fills', 'their', 'bellies', 'weakens', 'their', 'wills', 'but', 'strengthens', 'their', 'bones', 'he', 'always', 'keeps', 'them', 'innocent', 'of', 'knowledge', 'and', 'free', 'from', 'desire', 'and', 'ensures', 'that', 'the', 'clever', 'never', 'dare', 'to', 'act', 'do', 'that', 'which', 'consists', 'in', 'taking', 'no', 'action', 'and', 'order', 'will', 'prevail']","[9, 4, 792, 56, 6, 460, 19, 85, 2, 45, 27, 793, 9, 4, 295, 461, 40, 16, 331, 4, 130, 26, 19, 85, 22, 27, 1, 9, 4, 398, 32, 3, 794, 19, 85, 22, 27, 63, 1, 6, 131, 49, 8, 462, 2, 45, 2, 60, 795, 28, 598, 38, 599, 28, 796, 797, 28, 600, 38, 798, 28, 463, 13, 108, 288, 22, 1, 6, 156, 5, 179, 27, 148, 5, 1, 11, 2, 464, 98, 236, 4, 180, 47, 11, 40, 587, 8, 153, 17, 115, 5, 178, 19, 799, 0, 0, 0, 0, 0, 0]"
1,"['not', 'to', 'value', 'and', 'employ', 'men', 'of', 'superior', 'ability', 'is', 'the', 'way', 'to', 'keep', 'the', 'people', 'from', 'rivalry', 'among', 'themselves', 'not', 'to', 'prize', 'articles', 'which', 'are', 'difficult', 'to', 'procure', 'is', 'the', 'way', 'to', 'keep', 'them', 'from', 'becoming', 'thieves', 'not', 'to', 'show', 'them', 'what', 'is', 'likely', 'to', 'excite', 'their', 'desires', 'is', 'the', 'way', 'to', 'keep', 'their', 'minds', 'from', 'disorder', 'therefore', 'the', 'sage', 'in', 'the', 'exercise', 'of', 'his', 'government', 'empties', 'their', 'minds', 'fills', 'their', 'bellies', 'weakens', 'their', 'wills', 'and', 'strengthens', 'their', 'bones', 'he', 'constantly', 'tries', 'to', 'keep', 'them', 'without', 'knowledge', 'and', 'without', 'desire', 'and', 'where', 'there', 'are', 'those', 'who', 'have', 'knowledge', 'to', 'keep', 'them', 'from', 'presuming', 'to', 'act', 'on', 'it', 'when', 'there', 'is', 'this', 'abstinence', 'from', 'action', 'good', 'order', 'is', 'universal']","[9, 4, 295, 5, 601, 56, 6, 465, 332, 3, 2, 29, 4, 85, 2, 45, 27, 1, 800, 86, 9, 4, 602, 1, 40, 16, 191, 4, 1, 3, 2, 29, 4, 85, 22, 27, 399, 400, 9, 4, 254, 22, 32, 3, 1, 4, 1, 28, 177, 3, 2, 29, 4, 85, 28, 598, 27, 296, 49, 2, 60, 8, 2, 1, 6, 18, 237, 795, 28, 598, 599, 28, 796, 797, 28, 600, 5, 798, 28, 463, 13, 801, 802, 4, 85, 22, 48, 156, 5, 48, 148, 5, 151, 30, 16, 66, 15, 37, 156, 4]"
0,"['the', 'way', 'is', 'empty', 'yet', 'use', 'will', 'not', 'drain', 'it', 'deep', 'it', 'is', 'like', 'the', 'ancestor', 'of', 'the', 'myriad', 'creatures', 'blunt', 'the', 'sharpness', 'untangle', 'the', 'knots', 'soften', 'the', 'glare', 'let', 'your', 'wheels', 'move', 'only', 'along', 'old', 'ruts', 'darkly', 'visible', 'it', 'only', 'seems', 'as', 'if', 'it', 'were', 'there', 'i', 'know', 'not', 'whose', 'son', 'it', 'is', 'it', 'images', 'the', 'forefather', 'of', 'god']","[2, 29, 3, 213, 42, 100, 19, 9, 603, 7, 230, 7, 3, 54, 2, 604, 6, 2, 111, 97, 466, 2, 401, 803, 2, 605, 804, 2, 805, 255, 112, 606, 607, 105, 806, 138, 807, 1, 608, 7, 105, 91, 20, 53, 7, 87, 30, 25, 61, 9, 256, 609, 7, 3, 7, 1, 2, 1, 6, 808, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,"['the', 'tao', 'is', 'like', 'the', 'emptiness', 'of', 'a', 'vessel', 'and', 'in', 'our', 'employment', 'of', 'it', 'we', 'must', 'be', 'on', 'our', 'guard', 'against', 'all', 'fulness', 'how', 'deep', 'and', 'unfathomable', 'it', 'is', 'as', 'if', 'it', 'were', 'the', 'honoured', 'ancestor', 'of', 'all', 'things', 'we', 'should', 'blunt', 'our', 'sharp', 'points', 'and', 'unravel', 'the', 'complications', 'of', 'things', 'we', 'should', 'attemper', 'our', 'brightness', 'and', 'bring', 'ourselves', 'into', 'agreement', 'with', 'the', 'obscurity', 'of', 'others', 'how', 'pure', 'and', 'still', 'the', 'tao', 'is', 'as', 'if', 'it', 'would', 'ever', 'so', 'continue', 'i', 'do', 'not', 'know', 'whose', 'son', 'it', 'is', 'it', 'might', 'appear', 'to', 'have', 'been', 'before', 'god']","[2, 35, 3, 54, 2, 809, 6, 10, 257, 5, 8, 157, 1, 6, 7, 62, 127, 12, 44, 157, 402, 214, 23, 810, 101, 230, 5, 1, 7, 3, 20, 53, 7, 87, 2, 610, 604, 6, 23, 41, 62, 92, 466, 157, 403, 811, 5, 812, 2, 813, 6, 41, 62, 92, 814, 157, 611, 5, 194, 815, 116, 612, 31, 2, 467, 6, 121, 101, 613, 5, 122, 2, 35, 3, 20, 53, 7, 68, 404, 50, 468, 25, 47, 9, 61, 256, 609, 7, 3, 7, 215, 333, 4, 37, 469, 128, 808, 0, 0, 0]"
0,"['heaven', 'and', 'earth', 'are', 'ruthless', 'and', 'treat', 'the', 'myriad', 'creatures', 'as', 'straw', 'dogs', 'the', 'sage', 'is', 'ruthless', 'and', 'treats', 'the', 'people', 'as', 'straw', 'dogs', 'is', 'not', 'the', 'space', 'between', 'heaven', 'and', 'earth', 'like', 'a', 'bellows', 'it', 'is', 'empty', 'without', 'being', 'exhausted', 'the', 'more', 'it', 'works', 'the', 'more', 'comes', 'out', 'much', 'speech', 'leads', 'inevitably', 'to', 'silence', 'better', 'to', 'hold', 'fast', 'to', 'the', 'void']","[51, 5, 74, 16, 816, 5, 614, 2, 111, 97, 20, 817, 470, 2, 60, 3, 816, 5, 405, 2, 45, 20, 817, 470, 3, 9, 2, 406, 407, 51, 5, 74, 54, 10, 818, 7, 3, 213, 48, 63, 615, 2, 88, 7, 819, 2, 88, 216, 137, 195, 330, 408, 1, 4, 1, 297, 4, 102, 258, 4, 2, 471, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,"['heaven', 'and', 'earth', 'do', 'not', 'act', 'from', 'the', 'impulse', 'of', 'any', 'wish', 'to', 'be', 'benevolent', 'they', 'deal', 'with', 'all', 'things', 'as', 'the', 'dogs', 'of', 'grass', 'are', 'dealt', 'with', 'the', 'sages', 'do', 'not', 'act', 'from', 'any', 'wish', 'to', 'be', 'benevolent', 'they', 'deal', 'with', 'the', 'people', 'as', 'the', 'dogs', 'of', 'grass', 'are', 'dealt', 'with', 'may', 'not', 'the', 'space', 'between', 'heaven', 'and', 'earth', 'be', 'compared', 'to', 'a', 'bellows', 'tis', 'emptied', 'yet', 'it', 'loses', 'not', 'its', 'power', 'tis', 'moved', 'again', 'and', 'sends', 'forth', 'air', 'the', 'more', 'much', 'speech', 'to', 'swift', 'exhaustion', 'lead', 'we', 'see', 'your', 'inner', 'being', 'guard', 'and', 'keep', 'it', 'free']","[51, 5, 74, 47, 9, 180, 27, 2, 1, 6, 164, 298, 4, 12, 820, 33, 409, 31, 23, 41, 20, 2, 470, 6, 821, 16, 822, 31, 2, 823, 47, 9, 180, 27, 164, 298, 4, 12, 820, 33, 409, 31, 2, 45, 20, 2, 470, 6, 821, 16, 822, 31, 95, 9, 2, 406, 407, 51, 5, 74, 12, 1, 4, 10, 818, 458, 1, 42, 7, 472, 9, 21, 459, 458, 1, 217, 5, 1, 454, 1, 2, 88, 195, 330, 4, 616, 824, 165, 62, 119, 112, 1, 63, 402, 5, 85, 7, 179, 0, 0]"
